Front,Back
"348. Design Tic-Tac-Toe (Medium): Design a Tic-Tac-Toe game that is played between two players on an n x n grid. A move is guaranteed to be valid and is placed on an empty block. Once a winning condition is reached, no more moves are allowed. A player who succeeds in placing n of their marks in a horizontal, vertical, or diagonal row wins the game. Sample Test Cases: TicTacToe toe = new TicTacToe(3); toe.move(0, 0, 1); // Returns 0 (no one wins) toe.move(0, 2, 2); // Returns 0 (no one wins) toe.move(2, 2, 1); // Returns 0 (no one wins) toe.move(1, 1, 2); // Returns 0 (no one wins) toe.move(2, 0, 1); // Returns 0 (no one wins) toe.move(1, 0, 2); // Returns 0 (no one wins) toe.move(2, 1, 1); // Returns 1 (player 1 wins)","Brute Force Solution: Maintain an n x n board matrix. For each move, update the board and check all rows, columns, and diagonals to determine if the current player has won. Time Complexity: O(n) per move. Optimized Solution: Use arrays to track the count of moves for each player in each row, column, and both diagonals. For each move, update the relevant counts and check if any reach n, indicating a win. Time Complexity: O(1) per move. Key Points: - Maintain separate counters for each row, column, and diagonal. - Update only the relevant counters for each move. - Check if any counter reaches n to determine a win. - This approach ensures constant time complexity per move, making it efficient for large boards."
"Find Pivot Index (724, Easy): Given an array of integers, find the pivot index where the sum of all numbers to the left equals the sum of all numbers to the right. If no such index exists, return -1.

**Example 1:**
- Input: nums = [1, 7, 3, 6, 5, 6]
- Output: 3
- Explanation: The sum of numbers to the left of index 3 is 11 (1 + 7 + 3), and the sum to the right is also 11 (5 + 6).

**Example 2:**
- Input: nums = [1, 2, 3]
- Output: -1
- Explanation: No index satisfies the condition.

**Example 3:**
- Input: nums = [2, 1, -1]
- Output: 0
- Explanation: The sum to the left of index 0 is 0, and the sum to the right is also 0 (1 + (-1)).","**Brute Force Solution:**
1. Iterate through each index in the array.
2. For each index, calculate the sum of elements to its left and right.
3. If the left and right sums are equal, return the current index.
4. If no such index is found, return -1.

**Time Complexity:** O(n²)

**Optimized Solution:**
1. Calculate the total sum of the array.
2. Initialize a variable to keep track of the left sum, starting at 0.
3. Iterate through the array:
   - For each element, subtract it from the total sum to get the right sum.
   - If the left sum equals the right sum, return the current index.
   - Add the current element to the left sum.
4. If no such index is found, return -1.

**Time Complexity:** O(n)

**Key Points:**
- The optimized solution leverages the total sum to avoid recalculating the right sum for each index.
- By maintaining a running left sum and adjusting the right sum accordingly, the solution achieves linear time complexity.
- This approach ensures that each element is processed only once, making it efficient for large arrays.

([algo.monster](https://algo.monster/liteproblems/724?utm_source=openai))"
"Making A Large Island (827, Hard): Given an n x n binary matrix grid where 1 represents land and 0 represents water, you can change at most one 0 to 1. Return the size of the largest island possible after this operation. An island is a 4-directionally connected group of 1's. Examples: Input: [[1,0],[0,1]] Output: 3. Input: [[1,1],[1,0]] Output: 4.","Brute Force: For each 0 in the grid, change it to 1 and perform a DFS or BFS to calculate the size of the resulting island. Time Complexity: O(n^4) due to nested loops and traversal for each cell. Optimized Solution: 1. Assign unique IDs to each island using DFS or BFS and store their sizes. 2. For each 0, check its 4-directional neighbors to identify adjacent islands. 3. Sum the sizes of these unique neighboring islands and add 1 for the flipped cell. 4. Track the maximum island size obtained. Time Complexity: O(n^2) for labeling islands and O(n^2) for evaluating each 0, resulting in O(n^2) overall. Key Points: - Label islands with unique IDs to avoid redundant calculations. - Use a set to track unique neighboring island IDs when evaluating each 0. - Handle edge cases where the grid is entirely land or water."
"3. Longest Substring Without Repeating Characters (Medium): Given a string s, find the length of the longest substring without repeating characters. Examples: Input: s = 'abcabcbb' Output: 3 Explanation: The answer is 'abc', with the length of 3. Input: s = 'bbbbb' Output: 1 Explanation: The answer is 'b', with the length of 1. Input: s = 'pwwkew' Output: 3 Explanation: The answer is 'wke', with the length of 3. Notice that the answer must be a substring, 'pwke' is a subsequence and not a substring.","Brute Force Solution: 1. Generate all possible substrings of s. 2. For each substring, check if it contains all unique characters. 3. Keep track of the maximum length of such substrings. Time Complexity: O(n³) due to generating O(n²) substrings and checking each for uniqueness in O(n) time. Optimized Solution: 1. Use a sliding window approach with two pointers (left and right) to define the current substring. 2. Utilize a hash set to store characters within the current window. 3. Move the right pointer to expand the window by adding new characters. 4. If a duplicate character is encountered, move the left pointer to the right until the duplicate is removed from the window. 5. Update the maximum length of the substring without repeating characters during the process. Time Complexity: O(n) as each character is processed at most twice. Key Points: - The sliding window technique efficiently finds the longest substring without repeating characters. - Using a hash set allows for quick checks and updates of characters in the current window. - This approach ensures that each character is considered only twice, leading to linear time complexity."
"4. Median of Two Sorted Arrays (Hard): Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)). Sample Test Cases: Input: nums1 = [1,3], nums2 = [2]. Output: 2.00000. Explanation: merged array = [1,2,3] and median is 2. Input: nums1 = [1,2], nums2 = [3,4]. Output: 2.50000. Explanation: merged array = [1,2,3,4] and median is (2 + 3) / 2 = 2.5.","Brute Force Solution: Merge both arrays into a single sorted array and find the median. Time Complexity: O((m+n) log (m+n)) due to sorting. Optimized Solution: Use binary search to partition the arrays such that the left partition contains the smaller half and the right partition contains the larger half. Adjust partitions until the maximum of the left partition is less than or equal to the minimum of the right partition. Time Complexity: O(log(min(m, n))). Key Points: - Perform binary search on the smaller array to minimize time complexity. - Ensure the partitions are balanced to correctly find the median. - Handle edge cases where one array is empty or arrays have different lengths."
"String to Integer (atoi) (8, Medium): Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer. The function discards leading whitespace, handles an optional sign, and converts subsequent digits into an integer. If the resulting integer is out of the 32-bit signed integer range [-2³¹, 2³¹ - 1], it returns INT_MAX (2³¹ - 1) or INT_MIN (-2³¹). If no valid conversion can be performed, it returns 0. Examples: Input: '42' Output: 42. Input: '   -42' Output: -42. Input: '4193 with words' Output: 4193. Input: 'words and 987' Output: 0. Input: '-91283472332' Output: -2147483648.","Brute Force: Iterate through the string, manually parsing characters to handle whitespace, signs, and digits, constructing the number while checking for overflows. Time Complexity: O(n), where n is the length of the string. Optimized Solution: Similar to the brute force approach, but with careful handling of edge cases and overflow conditions to ensure efficiency. Time Complexity: O(n). Key Points: 1. Trim leading whitespace. 2. Determine the sign from the first non-whitespace character. 3. Convert subsequent digits into an integer, stopping at the first non-digit character. 4. Handle integer overflow by returning INT_MAX or INT_MIN as appropriate. 5. Return 0 if no valid conversion is possible."
"21. Merge Two Sorted Lists (Easy): Merge two sorted linked lists into one sorted list by splicing together their nodes. Input: list1 = [1,2,4], list2 = [1,3,4]. Output: [1,1,2,3,4,4]","Brute Force: Collect all nodes, sort them, and reconstruct the list. Time Complexity: O((n+m) log(n+m)). Optimized: Use a dummy node and a pointer to iteratively merge the lists by comparing current nodes and attaching the smaller one. Time Complexity: O(n+m). Key Points: Utilize a dummy node to simplify edge cases; compare nodes and attach the smaller one; handle remaining nodes after one list is exhausted."
"Reverse Nodes in k-Group (25, Hard): Given a linked list, reverse the nodes of the list k at a time and return its modified list. k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k, then the remaining nodes should remain as they are. Sample Test Cases: Input: head = [1,2,3,4,5], k = 2; Output: [2,1,4,3,5]. Input: head = [1,2,3,4,5], k = 3; Output: [3,2,1,4,5].","Brute Force Solution: 1. Traverse the linked list to count the total number of nodes. 2. For each group of k nodes, reverse the nodes. 3. If the remaining nodes are fewer than k, leave them as they are. Time Complexity: O(n^2) due to repeated traversal for each group. Optimized Solution: 1. Use a dummy node to simplify edge cases. 2. Initialize pointers: prev_group (points to the dummy node), head (points to the start of the list), and tail (to find the end of each k-group). 3. While there are at least k nodes remaining: a. Move the tail pointer k nodes ahead. b. Reverse the k nodes between head and tail. c. Connect the reversed group back to the list. d. Move prev_group and head pointers to the next group. 4. If fewer than k nodes remain, leave them as they are. Time Complexity: O(n) as each node is visited and manipulated once. Key Points: - Utilize a dummy node to handle edge cases smoothly. - Carefully manage pointers to reverse k nodes and reconnect the list. - Ensure that the remaining nodes are left unchanged if they are fewer than k."
"28. Find the Index of the First Occurrence in a String (Easy): Given two strings `needle` and `haystack`, return the index of the first occurrence of `needle` in `haystack`, or `-1` if `needle` is not part of `haystack`. Examples: Input: haystack = 'sadbutsad', needle = 'sad'. Output: 0. Input: haystack = 'leetcode', needle = 'leeto'. Output: -1.","Brute Force: Iterate through each position in `haystack` and compare the substring of length equal to `needle` with `needle` itself. Time Complexity: O(n * m), where n is the length of `haystack` and m is the length of `needle`. Optimized Solution: Use the Knuth-Morris-Pratt (KMP) algorithm, which preprocesses `needle` to create an LPS (Longest Prefix Suffix) array, allowing efficient skipping of characters during mismatches. Time Complexity: O(n + m). Key Points: KMP reduces unnecessary comparisons by utilizing the LPS array, making it more efficient for large strings."
"Trapping Rain Water (42, Hard): Given an array representing an elevation map where the width of each bar is 1, compute how much water can be trapped after raining.

**Example 1:**
- Input: height = [0,1,0,2,1,0,1,3,2,1,2,1]
- Output: 6
- Explanation: The elevation map is represented by the array [0,1,0,2,1,0,1,3,2,1,2,1]. In this case, 6 units of rainwater are trapped.

**Example 2:**
- Input: height = [4,2,0,3,2,5]
- Output: 9
- Explanation: The elevation map is represented by the array [4,2,0,3,2,5]. In this case, 9 units of rainwater are trapped.

**Constraints:**
- n == height.length
- 1 <= n <= 2 * 10⁴
- 0 <= height[i] <= 10⁵","**Brute Force Solution:**
1. For each index, find the maximum height to its left and right.
2. Calculate the water trapped at that index as the minimum of these two heights minus the height at the index.
3. Sum the trapped water for all indices.

**Time Complexity:** O(n²)

**Optimized Solution (Two Pointers):**
1. Initialize two pointers, left and right, at the start and end of the array, respectively.
2. Maintain two variables, left_max and right_max, to store the maximum heights encountered from the left and right.
3. While left is less than right:
   - If height[left] is less than or equal to height[right]:
     - If height[left] is greater than or equal to left_max, update left_max.
     - Else, add the difference between left_max and height[left] to the result.
     - Move left pointer to the right.
   - Else:
     - If height[right] is greater than or equal to right_max, update right_max.
     - Else, add the difference between right_max and height[right] to the result.
     - Move right pointer to the left.

**Time Complexity:** O(n)

**Key Points:**
- The two-pointer approach efficiently calculates trapped water without extra space.
- Maintains left and right maximum heights dynamically.
- Works in O(n) time complexity and O(1) space complexity.

([kodeao.com](https://kodeao.com/leetcode-42-trapping-rain-water-two-pointer/?utm_source=openai))"
"Group Anagrams (49, Medium): Given an array of strings, group the anagrams together. An anagram is a word formed by rearranging the letters of another word, using all original letters exactly once. Example: Input: [\eat\","\""tea\"
"Jump Game (55, Medium): Given an array of non-negative integers `nums`, where each element represents the maximum jump length at that position, determine if you can reach the last index starting from the first index.

**Example 1:**
- Input: `nums = [2,3,1,1,4]`
- Output: `true`
- Explanation: Jump 1 step from index 0 to 1, then 3 steps to the last index.

**Example 2:**
- Input: `nums = [3,2,1,0,4]`
- Output: `false`
- Explanation: You will always arrive at index 3 no matter what. Its maximum jump length is 0, making it impossible to reach the last index.","**Brute Force Solution:**
1. Start at index 0.
2. Recursively attempt all possible jumps from the current index.
3. If any path leads to the last index, return `true`; otherwise, return `false`.

**Time Complexity:** O(2^n) due to the exploration of all possible jump paths.

**Optimized Solution (Greedy Approach):**
1. Initialize `maxReach` to 0, representing the farthest index reachable so far.
2. Iterate through the array:
   - If the current index `i` is greater than `maxReach`, return `false` (cannot proceed further).
   - Update `maxReach` to the maximum of its current value and `i + nums[i]`.
   - If `maxReach` is greater than or equal to the last index, return `true`.

**Time Complexity:** O(n), where n is the length of the array.

**Key Points:**
- The greedy approach efficiently tracks the farthest reachable index, allowing for an early exit if the end is reachable.
- If at any point the current index exceeds `maxReach`, it's impossible to reach the last index.
- This method ensures a linear time solution with constant space usage."
"Climbing Stairs (70, Easy): You are climbing a staircase with n steps. Each time, you can climb 1 or 2 steps. Determine the number of distinct ways to reach the top. Example: Input: n = 3. Output: 3. Explanation: 1. 1 step + 1 step + 1 step. 2. 1 step + 2 steps. 3. 2 steps + 1 step.","Brute Force: Use recursion to explore all possible step combinations. Time Complexity: O(2^n). Optimized: Recognize the problem as a Fibonacci sequence where f(n) = f(n-1) + f(n-2). Use dynamic programming to iteratively compute the number of ways, storing only the last two results to save space. Time Complexity: O(n). Key Points: The number of ways to reach step n is the sum of ways to reach steps n-1 and n-2. This approach reduces space complexity to O(1) by maintaining only two variables."
"95. Unique Binary Search Trees II (Medium): Given an integer n, generate all structurally unique BSTs (binary search trees) that store values 1 to n. Example: Input: n = 3. Output: [[1,null,2,null,3],[1,null,3,2],[2,1,3],[3,1,null,null,2],[3,2,null,1]].","Brute Force: Recursively generate all possible BSTs by selecting each number as root and constructing left and right subtrees. Time Complexity: O(3^n). Optimized: Utilize dynamic programming to store and reuse results of subproblems, reducing redundant computations. Time Complexity: O(3^n). Key Points: Use recursion to explore all combinations of left and right subtrees for each root; memoize results to improve efficiency."
"97. Interleaving String (Medium): Given strings s1, s2, and s3, determine if s3 is formed by interleaving s1 and s2. An interleaving of two strings maintains the relative order of characters from both strings without rearranging them. Sample Test Cases: Input: s1 = 'aabcc', s2 = 'dbbca', s3 = 'aadbbcbcac'. Output: true. Input: s1 = 'aabcc', s2 = 'dbbca', s3 = 'aadbbbaccc'. Output: false.","Brute Force Solution: Recursively explore all possible interleavings of s1 and s2 to check if any match s3. Time Complexity: O(2^(m+n)), where m and n are the lengths of s1 and s2, respectively. Optimized Solution: Use dynamic programming to build a 2D table dp[i][j] indicating if s3[0:i+j] can be formed by interleaving s1[0:i] and s2[0:j]. Initialize dp[0][0] to true, and fill the table based on matches between characters of s1, s2, and s3. Time Complexity: O(m*n). Key Points: 1. Check if the combined length of s1 and s2 equals s3; if not, return false. 2. Use a 2D DP table to track interleaving possibilities. 3. Transition states by checking matches between current characters of s1, s2, and s3. 4. The value at dp[m][n] indicates if s3 can be formed by interleaving s1 and s2."
"116. Populating Next Right Pointers in Each Node (Medium): Given a perfect binary tree, populate each node's 'next' pointer to point to its next right node. If there is no next right node, the 'next' pointer should be set to NULL. Initially, all 'next' pointers are set to NULL. Example: Input: root = [1,2,3,4,5,6,7]. Output: [1,#,2,3,#,4,5,6,7,#].","Brute Force: Use a queue to perform level-order traversal (BFS). For each level, connect nodes from left to right. Time Complexity: O(n). Optimized: Utilize the 'next' pointers to traverse levels without extra space. For each node, connect its left child to its right child, and if the node has a 'next', connect its right child to the 'next' node's left child. Time Complexity: O(n). Key Points: Leverage the perfect binary tree property; use existing 'next' pointers to traverse levels efficiently; achieve constant extra space by avoiding additional data structures."
"Word Ladder (127, Hard): Given two words (beginWord and endWord) and a dictionary wordList, find the length of the shortest transformation sequence from beginWord to endWord, such that: 1. Only one letter can be changed at a time. 2. Each transformed word must exist in the word list. Example: Input: beginWord = 'hit', endWord = 'cog', wordList = ['hot','dot','dog','lot','log','cog']. Output: 5. Explanation: The shortest transformation is 'hit' -> 'hot' -> 'dot' -> 'dog' -> 'cog', with a length of 5.","Brute Force: Generate all possible sequences of transformations and check each for validity. Time Complexity: O(N!), where N is the length of the word list. Optimized Solution: Use Bidirectional Breadth-First Search (BFS) to find the shortest path. Steps: 1. Convert wordList to a set for O(1) lookups. 2. Initialize two sets for BFS: one starting from beginWord and the other from endWord. 3. Perform BFS from both ends, expanding the smaller set each time. 4. For each word, generate all possible one-letter transformations. 5. If a transformation exists in the opposite set, the shortest path is found. 6. If no connection is found, return 0. Time Complexity: O(26 * N * L), where N is the number of words in the word list and L is the length of each word. Key Points: - Bidirectional BFS reduces the search space by simultaneously searching from both the start and end words. - Always expand the smaller set to minimize the number of operations. - Use a set to store words for O(1) lookup and to avoid revisiting words."
"143. Reorder List (Medium): Given the head of a singly linked list, reorder it to: L0 → Ln → L1 → Ln-1 → L2 → Ln-2 → … without modifying node values, only changing pointers. Example: Input: [1,2,3,4,5]. Output: [1,5,2,4,3].","Brute Force: Store nodes in an array, reorder, and rebuild list. Time Complexity: O(n). Optimized: 1) Find middle using slow and fast pointers. 2) Reverse second half. 3) Merge halves alternately. Time Complexity: O(n). Key Points: In-place operations with O(1) space; careful pointer manipulation required."
"152. Maximum Product Subarray (Medium): Given an integer array nums, find a contiguous subarray within the array (containing at least one number) which has the largest product, and return that product. Example 1: Input: [2,3,-2,4] Output: 6 Explanation: [2,3] has the largest product 6. Example 2: Input: [-2,0,-1] Output: 0 Explanation: The result cannot be 2, because [-2,-1] is not a subarray.","Brute Force Solution: Iterate through all possible subarrays, compute their products, and track the maximum product found. Time Complexity: O(n²) due to nested loops. Optimized Solution: Use dynamic programming to maintain both the maximum and minimum product ending at each index, as a negative number can swap the max and min. Update the global maximum product accordingly. Time Complexity: O(n) with constant space usage. Key Points: Track both maximum and minimum products to handle negative numbers; reset the product when encountering zero to avoid propagation of zeros."
"Second Highest Salary (176, Medium): Given an Employee table with columns id and salary, write a SQL query to find the second highest distinct salary. If no such salary exists, return null. Example: Input: Employee table: | id | salary | |----|--------| | 1  | 100    | | 2  | 200    | | 3  | 300    | Output: | SecondHighestSalary | |---------------------| | 200                 |","Brute Force: Select all distinct salaries, order them in descending order, and retrieve the second entry. Time Complexity: O(n log n) due to sorting. Optimized: Use a subquery to find the maximum salary, then find the highest salary less than this maximum. Time Complexity: O(n) as it involves two scans of the table. Key Points: Ensure to handle cases where there is no second highest salary by returning null."
"183. Customers Who Never Order (Easy): Given two tables, `Customers` and `Orders`, write an SQL query to find all customers who have never placed an order. Return the result table in any order. Sample Input: Customers table: | id | name | |----|-------| | 1 | Joe | | 2 | Henry | | 3 | Sam | | 4 | Max | Orders table: | id | customerId | |----|------------| | 1 | 3 | | 2 | 1 | Sample Output: | Customers | |-----------| | Henry | | Max |","Brute Force Solution: 1. For each customer in the `Customers` table, check if their `id` exists in the `Orders` table's `customerId` column. 2. If not, include the customer's name in the result. Time Complexity: O(n * m), where n is the number of customers and m is the number of orders. Optimized Solution: 1. Perform a LEFT JOIN between the `Customers` and `Orders` tables on `Customers.id = Orders.customerId`. 2. Select the `name` from `Customers` where `Orders.id` is NULL. Time Complexity: O(n + m), where n is the number of customers and m is the number of orders. Key Points: - Using a LEFT JOIN allows for efficient identification of customers without orders by checking for NULL values in the joined `Orders` table. - Ensure proper handling of NULL values to avoid incorrect results. - This approach leverages SQL's join capabilities for optimal performance."
"Reverse Bits (190, Easy): Reverse the bits of a given 32-bit unsigned integer.

**Problem Description:**

Given a 32-bit unsigned integer, reverse its bits and return the resulting integer.

**Sample Test Cases:**

- Input: `00000010100101000001111010011100`
  Output: `00111001011110000010100101000000`
  Explanation: The input binary string represents the unsigned integer 43261596, so return 964176192, whose binary representation is `00111001011110000010100101000000`.

- Input: `11111111111111111111111111111101`
  Output: `10111111111111111111111111111111`
  Explanation: The input binary string represents the unsigned integer 4294967293, so return 3221225471, whose binary representation is `10111111111111111111111111111111`.","**Brute Force Solution:**

1. Initialize `result` to 0.
2. Iterate over each of the 32 bits of the input integer:
   - Left shift `result` by 1 to make room for the next bit.
   - Extract the least significant bit (LSB) of the input integer using `n & 1`.
   - Add the extracted bit to `result` using bitwise OR.
   - Right shift the input integer `n` by 1 to process the next bit.
3. After processing all bits, `result` contains the reversed bits.

**Time Complexity for Brute Force Solution:**

- O(1): The loop runs exactly 32 times, regardless of the input.

**Optimized Solution:**

1. Swap the left and right 16 bits of the input integer.
2. Swap 8-bit segments within each 16-bit block.
3. Swap 4-bit segments within each 8-bit block.
4. Swap 2-bit segments within each 4-bit block.
5. Swap individual bits within each 2-bit block.

**Time Complexity for Optimized Solution:**

- O(1): The solution performs a constant number of operations.

**Key Points to Remember for the Optimized Solution:**

- Utilizes bit manipulation techniques to reverse bits in a divide-and-conquer manner.
- Efficiently reverses bits with a fixed number of operations.
- Avoids looping through each bit individually, leading to faster execution."
"Number of Islands (200, Medium): Given an m x n 2D grid of '1's (land) and '0's (water), count the number of islands. An island is formed by connecting adjacent lands horizontally or vertically. Assume all four edges of the grid are surrounded by water. Example: Input: [['1','1','0','0','0'], ['1','1','0','0','0'], ['0','0','1','0','0'], ['0','0','0','1','1']]. Output: 3.","Brute Force: Iterate through each cell; for each '1' found, perform a DFS or BFS to mark all connected lands, counting each as a new island. Time Complexity: O(m * n). Optimized: Same as brute force; no further optimization available. Key Points: Use DFS or BFS to explore connected components; mark visited cells to avoid recounting; ensure to check all four directions (up, down, left, right).}"
"Contains Duplicate II (219, Easy): Given an integer array nums and an integer k, return true if there are two distinct indices i and j in the array such that nums[i] == nums[j] and abs(i - j) <= k. Sample Test Cases: Input: nums = [1,2,3,1], k = 3; Output: true. Input: nums = [1,0,1,1], k = 1; Output: true. Input: nums = [1,2,3,1,2,3], k = 2; Output: false.","Brute Force Solution: Iterate through all pairs of indices (i, j) and check if nums[i] == nums[j] and abs(i - j) <= k. Time Complexity: O(n²). Optimized Solution: Use a hash table to store the most recent index of each element. As you iterate through nums, for each element, check if it exists in the hash table and if the difference between the current index and the stored index is less than or equal to k. If so, return true; otherwise, update the hash table with the current index. Time Complexity: O(n). Key Points: Utilize a hash table to track the latest index of each element for efficient lookups; This approach ensures a single pass through the array, maintaining an O(n) time complexity."
"249. Group Shifted Strings (Medium): Given a list of strings, group all strings that belong to the same shifting sequence. A shifting sequence is formed by shifting each letter of a string to its successive letter in the alphabet, wrapping around from 'z' to 'a'. For example, 'abc' can be shifted to 'bcd', 'cde', and so on. Input: ['abc', 'bcd', 'acef', 'xyz', 'az', 'ba', 'a', 'z']. Output: [['abc', 'bcd', 'xyz'], ['az', 'ba'], ['acef'], ['a', 'z']].","Brute Force: Compare each string with every other string to determine if they belong to the same shifting sequence. Time Complexity: O(n² * m), where n is the number of strings and m is the average length of the strings. Optimized Solution: Normalize each string by shifting it back to start from 'a', then use a hash map to group strings with the same normalized form. Time Complexity: O(n * m). Key Points: Normalize strings by shifting them to start from 'a'; Use a hash map to group strings with the same normalized form; Handle wrap-around cases when shifting characters."
"Closest Binary Search Tree Value (270, Easy): Given the root of a binary search tree and a target value, return the value in the BST that is closest to the target. Example: Input: root = [4,2,5,1,3], target = 3.714286. Output: 4.","Brute Force: Perform an in-order traversal of the BST to collect all node values, then find the value with the smallest absolute difference to the target. Time Complexity: O(n), where n is the number of nodes in the BST. Optimized: Utilize the BST properties to traverse the tree. Start at the root, update the closest value if the current node is closer to the target, and move left or right based on the target's relation to the current node's value. Time Complexity: O(h), where h is the height of the tree (O(log n) for balanced BSTs). Key Points: Leverage the BST's ordered structure to eliminate half of the tree at each step, reducing the number of nodes to examine."
"286. Walls and Gates (Medium): You are given an m x n grid where:
- -1 represents a wall or obstacle.
- 0 represents a gate.
- INF (2147483647) represents an empty room.

Your task is to fill each empty room with the distance to its nearest gate. If it is impossible to reach a gate, the room should remain INF.

Example:
Input:
[
  [INF, -1,  0,  INF],
  [INF, INF, INF, -1],
  [INF, -1, INF, -1],
  [0,   -1, INF, INF]
]

Output:
[
  [3,  -1,  0,  1],
  [2,   2,  1, -1],
  [1,  -1,  2, -1],
  [0,  -1,  3,  4]
]","Brute Force Solution:
1. For each empty room, perform a BFS or DFS to find the nearest gate.
2. Update the room's value with the distance found.
3. Repeat for all empty rooms.

Time Complexity: O((m * n)²) in the worst case, as each room may initiate a search through the entire grid.

Optimized Solution:
1. Initialize a queue and enqueue all gate positions.
2. Perform a BFS from all gates simultaneously:
   - Dequeue a position.
   - For each of its four neighbors (up, down, left, right):
     - If the neighbor is an empty room (INF), update its value to the current distance + 1 and enqueue it.
3. Continue until the queue is empty.

Time Complexity: O(m * n), as each cell is processed at most once.

Key Points:
- Using BFS from all gates ensures that each room is filled with the shortest distance to a gate.
- This approach efficiently updates all distances in one pass without redundant calculations.
- The problem is essentially a multi-source shortest path problem on a grid."
"295. Find Median from Data Stream (Hard): Design a data structure that supports adding integers from a data stream and retrieving the median efficiently. Implement the following methods: `addNum(int num)` to add a number and `findMedian()` to return the median. Sample Test Cases: Input: `addNum(1)`, `addNum(2)`, `findMedian()`, `addNum(3)`, `findMedian()`. Output: `null`, `null`, `1.5`, `null`, `2.0`.",Brute Force Solution: Store all numbers in a list and sort it each time `findMedian()` is called. Time Complexity: `O(n log n)` for sorting. Optimized Solution: Use two heaps: a max-heap for the lower half and a min-heap for the upper half of numbers. Balance the heaps after each insertion to ensure their sizes differ by at most one. Time Complexity: `O(log n)` for `addNum()` and `O(1)` for `findMedian()`. Key Points: Maintain two heaps to efficiently track the median; balance the heaps to ensure the median is always accessible; use a max-heap for the lower half and a min-heap for the upper half to facilitate quick median retrieval.
"301. Remove Invalid Parentheses (Hard): Given a string containing parentheses and lowercase letters, remove the minimum number of invalid parentheses to make the input string valid. Return all possible valid strings in any order. Input: s = \()())()\"". Output: [\""(())()\","\""()()()\""]."
"317. Shortest Distance from All Buildings (Hard): Given a 2D grid with values 0 (empty land), 1 (building), and 2 (obstacle), find an empty land cell such that the sum of Manhattan distances from this cell to all buildings is minimized. If no such cell exists, return -1. Sample Test Cases: Input: [[1,0,2,0,1],[0,0,0,0,0],[0,0,1,0,0]] Output: 7","Brute Force Solution: For each empty land cell, perform a BFS or DFS to calculate the distance to every building, then sum these distances. Time Complexity: O((m*n)^2) in the worst case, where m and n are the grid dimensions. Optimized Solution: 1. Initialize two matrices: 'distances' to accumulate the sum of distances from all buildings to each empty cell, and 'reach' to count how many buildings can reach a given empty cell. 2. Count the total number of buildings in the grid. 3. For each building, perform a BFS to update the 'distances' and 'reach' matrices for all reachable empty cells. 4. After processing all buildings, iterate over each empty cell. If an empty cell is reachable from all buildings (i.e., 'reach[i][j]' equals the total number of buildings), consider its cumulative distance. 5. Return the minimum distance found; if no such cell exists, return -1. Time Complexity: O(B * m * n), where B is the number of buildings. Key Points: - Use BFS from each building to efficiently calculate distances to all reachable empty cells. - Maintain 'distances' and 'reach' matrices to aggregate distance sums and track reachability. - Ensure that only empty cells reachable by all buildings are considered for the final result."
"Coin Change (322, Medium): Given an integer array coins representing different denominations and an integer amount representing a total amount of money, return the fewest number of coins needed to make up that amount. If that amount cannot be made up by any combination of the coins, return -1. You may assume that you have an infinite number of each kind of coin.

Example 1:
Input: coins = [1, 2, 5], amount = 11
Output: 3
Explanation: 11 = 5 + 5 + 1

Example 2:
Input: coins = [2], amount = 3
Output: -1

Example 3:
Input: coins = [1], amount = 0
Output: 0","Brute Force Solution:
1. Generate all possible combinations of coins to sum up to the target amount.
2. Track the number of coins used for each combination.
3. Return the minimum number of coins among all valid combinations.

Time Complexity: O(n^m), where n is the number of coin denominations and m is the target amount. This is due to the exponential number of combinations.

Optimized Solution (Dynamic Programming):
1. Initialize a DP array dp of size (amount + 1) with all values set to amount + 1, except dp[0] set to 0.
2. For each coin in coins:
   a. For each amount j from coin to amount:
      i. Update dp[j] as dp[j] = min(dp[j], dp[j - coin] + 1).
3. If dp[amount] is still amount + 1, return -1; otherwise, return dp[amount].

Time Complexity: O(n * m), where n is the number of coin denominations and m is the target amount. This is due to the nested loops iterating over coins and amounts.

Key Points:
- Dynamic programming efficiently solves the problem by building up solutions to smaller subproblems.
- The DP array stores the minimum number of coins needed for each amount up to the target.
- If the target amount cannot be reached with the given coins, the DP array will indicate this with a value greater than the amount.
- This approach ensures that each subproblem is solved only once, leading to a more efficient solution compared to brute force methods."
